"Отметка времени","Ваш возраст?","Где Вы проживаете?","Хватает ли Вам мест общего пользования для свободного времяпровождения? (если вы проживаете в Кировском районе)","Знаете ли Вы о существовании Ушаковских бань ""Гигант"" (улица Зои Космодемьянской, 7А)?","Если знаете, как бы Вы описали его нынешнее состояние и роль в районе?","Что, на Ваш взгляд, является главной проблемой этого здания сейчас?","Как Вы считаете, нужно ли находить новое применение для этого здания?","Какие функции на Ваш взгляд наиболее востребованы? (выберите до 3-х вариантов)","Как часто Вы могли бы посещать обновленное пространство в Ушаковских банях, если бы там появились интересные вам функции?","На Ваш взгляд, является ли это здание частью исторической памяти Кировского района?","Какое решение вам кажется наиболее важным в будущем этого объекта?","Что могло бы стать для Вас решающим аргументом для посещения? "
"2026/01/10 7:43:25 PM GMT+3","26-35","Кировский район","Скорее нет","Слышал(а), но подробности не известны","Раньше был центр притяжения для людей. Многие собирались и в будни и выходные в парных. Сейчас центр притяжения для любителей стрит арта и маргиналов","Ветхое состояние, жуткий вид","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","Раз в неделю","Да, важная часть","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств;Создание новой яркой достопримечательности района","Высокое качество и комфорт пространства;Уникальная атмосфера и история места"
"2026/01/10 8:00:06 PM GMT+3","18-25","Другой район Санкт-Петербурга","Нет","Нет, не знаю","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор","Реже, чем раз в месяц","Затрудняюсь ответить","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств;Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства;Возможность для самореализации (кружки, мастерские, волонтерство);Уникальная атмосфера и история места"
"2026/01/10 8:01:47 PM GMT+3","36-45","Другой субъект РФ","","Нет, не знаю","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор","Вряд ли стал бы посещать","Затрудняюсь ответить","Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп;Создание новой яркой достопримечательности района","Уникальная атмосфера и история места;хорошая транспортная доступность"
"2026/01/10 8:23:23 PM GMT+3","18-25","Другой район Санкт-Петербурга","Скорее нет","Слышал(а), но подробности не известны","Заброшенное здание, не эксплуатируется","Более 20 лет не используется, точка притяжения маргиналов","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе","1-2 раза в месяц","Да, важная часть","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств","Интересная программа мероприятий (концерты, лекции, фестивали);Уникальная атмосфера и история места"
"2026/01/10 8:25:08 PM GMT+3","36-45","Кировский район","Скорее да","Да, знаю (видел(а)/бывал(а)/интересовался)","Заброшен, не используется и разрушается
","хотят реставрировать, но могут испортить архитектуру или вообще снести, хотелось бы сохранить памятник конструктивизма","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Раз в неделю","Да, важная часть","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп;Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства;Возможность для самореализации (кружки, мастерские, волонтерство);Уникальная атмосфера и история места"
"2026/01/10 8:25:55 PM GMT+3","26-35","Другой район Санкт-Петербурга","Скорее нет","Нет, не знаю","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых","Раз в неделю","Затрудняюсь ответить","Обеспечение доступности для всех социальных групп;Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали);Уникальная атмосфера и история места"
"2026/01/10 8:26:29 PM GMT+3","45-60","Кировский район","Затрудняюсь ответить","Слышал(а), но подробности не известны","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых","Вряд ли стал бы посещать","Скорее да, но не ключевая","Сохранение исторического облика и памяти места;Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства;Уникальная атмосфера и история места"
"2026/01/10 8:26:58 PM GMT+3","18-25","Другой район Санкт-Петербурга","Скорее да","Нет, не знаю","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","Реже, чем раз в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства;Возможность для самореализации (кружки, мастерские, волонтерство);Уникальная атмосфера и история места"
"2026/01/11 12:04:34 PM GMT+3","26-35","Кировский район","Скорее нет","Слышал(а), но подробности не известны","","","Скорее да","Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","1-2 раза в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места","Высокое качество и комфорт пространства"
"2026/01/11 2:28:39 PM GMT+3","18-25","Кировский район","Нет","Слышал(а), но подробности не известны","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе","1-2 раза в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств","Высокое качество и комфорт пространства;Уникальная атмосфера и история места"
"2026/01/11 2:29:20 PM GMT+3","18-25","Кировский район","Скорее нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Скорее да","Изначальное наполнение - бани","1-2 раза в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места;Обеспечение доступности для всех социальных групп","Возможность для самореализации (кружки, мастерские, волонтерство);Уникальная атмосфера и история места"
"2026/01/11 2:29:56 PM GMT+3","26-35","Кировский район","Нет","Нет, не знаю","","","Мне все равно","Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Реже, чем раз в месяц","Нет, это рядовое здание","Создание новой яркой достопримечательности района","Высокое качество и комфорт пространства"
"2026/01/11 2:30:40 PM GMT+3","18-25","Другой район Санкт-Петербурга","","Слышал(а), но подробности не известны","","","Мне все равно","Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Реже, чем раз в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места","Интересная программа мероприятий (концерты, лекции, фестивали)"
"2026/01/11 2:35:09 PM GMT+3","26-35","Кировский район","Скорее нет","Нет, не знаю","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи","Вряд ли стал бы посещать","Нет, это рядовое здание","Создание новой яркой достопримечательности района","Уникальная атмосфера и история места"
"2026/01/11 2:35:37 PM GMT+3","18-25","Кировский район","Скорее нет","Слышал(а), но подробности не известны","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","1-2 раза в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп;Создание новой яркой достопримечательности района","Высокое качество и комфорт пространства"
"2026/01/11 2:36:27 PM GMT+3","18-25","Кировский район","Скорее нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","1-2 раза в месяц","Да, важная часть","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства"
"2026/04/21 4:34:30 PM GMT+3","18-25","Кировский район","Нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","1-2 раза в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места","Уникальная атмосфера и история места"
